%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1536679193946730235,0.0,0.0,0.0,0.0,0.0,0.0
1536679193980516731,0.0,0.0,0.0,0.0,0.0,0.0
1536679194013405968,0.0,0.0,0.0,0.0,0.0,0.0
1536679194046827335,0.0,0.0,0.0,0.0,0.0,0.0
1536679194080158746,0.0,0.0,0.0,0.0,0.0,0.0
1536679194113623915,0.0,0.0,0.0,0.0,0.0,0.0
1536679194146896976,0.0,0.0,0.0,0.0,0.0,0.0
1536679194180716111,0.0,0.0,0.0,0.0,0.0,0.0
1536679194213863061,0.0,0.0,0.0,0.0,0.0,0.0
1536679194247155503,0.0,0.0,0.0,0.0,0.0,0.0
1536679194280505198,0.0,0.0,0.0,0.0,0.0,0.0
1536679194313969919,0.0,0.0,0.0,0.0,0.0,0.0
1536679194347486716,0.0,0.0,0.0,0.0,0.0,0.0
1536679194380850900,0.0,0.0,0.0,0.0,0.0,0.0
1536679194414289003,0.0,0.0,0.0,0.0,0.0,0.0
1536679194447680192,0.0,0.0,0.0,0.0,0.0,0.0
1536679194481263269,0.0,0.0,0.0,0.0,0.0,0.0
1536679194514678447,0.0,0.0,0.0,0.0,0.0,0.0
1536679194548116789,0.0,0.0,0.0,0.0,0.0,0.0
1536679194581450657,0.0,0.0,0.0,0.0,0.0,0.0
1536679194614957275,0.0,0.0,0.0,0.0,0.0,0.0
1536679194648279160,0.0,0.0,0.0,0.0,0.0,0.0
1536679194681902481,0.0,0.0,0.0,0.0,0.0,0.0
1536679194715220618,0.0,0.0,0.0,0.0,0.0,0.0
1536679194748570639,0.0,0.0,0.0,0.0,0.0,0.0
1536679194782015819,0.0,0.0,0.0,0.0,0.0,0.0
1536679194815253176,0.0,0.0,0.0,0.0,0.0,0.0
1536679194849582724,0.0,0.0,0.0,0.0,0.0,0.0
1536679194882421962,0.0,0.0,0.0,0.0,0.0,0.0
1536679194915599228,0.0,0.0,0.0,0.0,0.0,0.0
1536679194948971232,0.0,0.0,0.0,0.0,0.0,0.0
1536679194982464302,0.0,0.0,0.0,0.0,0.0,0.0
1536679195015797329,0.0,0.0,0.0,0.0,0.0,0.0
1536679195049091882,0.0,0.0,0.0,0.0,0.0,0.0
1536679195082609337,0.0,0.0,0.0,0.0,0.0,0.0
1536679195116085426,0.0,0.0,0.0,0.0,0.0,0.0
1536679195149492929,0.0,0.0,0.0,0.0,0.0,0.0
1536679195182801007,0.0,0.0,0.0,0.0,0.0,0.0
1536679195216797202,0.0,0.0,0.0,0.0,0.0,0.0
1536679195249728775,0.0,0.0,0.0,0.0,0.0,0.0
1536679195283385370,0.0,0.0,0.0,0.0,0.0,0.0
1536679195316740963,0.0,0.0,0.0,0.0,0.0,0.0
1536679195350344098,0.0,0.0,0.0,0.0,0.0,0.0
1536679195383622769,0.0,0.0,0.0,0.0,0.0,0.0
1536679195417347534,0.0,0.0,0.0,0.0,0.0,0.0
1536679195451367046,0.0,0.0,0.0,0.0,0.0,0.0
1536679195484228062,0.0,0.0,0.0,0.0,0.0,0.0
1536679195517911996,0.0,0.0,0.0,0.0,0.0,0.0
1536679195551456859,0.0,0.0,0.0,0.0,0.0,0.0
1536679195587454135,0.0,0.0,0.0,0.0,0.0,0.0
1536679195618289957,0.0,0.0,0.0,0.0,0.0,0.0
1536679195651669899,0.0,0.0,0.0,0.0,0.0,0.0
1536679195684994753,0.0,0.0,0.0,0.0,0.0,0.0
1536679195718635946,0.0,0.0,0.0,0.0,0.0,0.0
1536679195751859477,0.0,0.0,0.0,0.0,0.0,0.0
1536679195785217579,0.0,0.0,0.0,0.0,0.0,0.0
1536679195819605146,0.0,0.0,0.0,0.0,0.0,0.0
1536679195852243862,0.0,0.0,0.0,0.0,0.0,0.0
1536679195885672777,0.0,0.0,0.0,0.0,0.0,0.0
1536679195919117975,0.0,0.0,0.0,0.0,0.0,0.0
1536679195952902037,0.0,0.0,0.0,0.0,0.0,0.0
1536679195986417521,0.0,0.0,0.0,0.0,0.0,0.0
1536679196019595848,0.0,0.0,0.0,0.0,0.0,0.0
1536679196052861143,0.0,0.0,0.0,0.0,0.0,0.0
1536679196086314478,0.0,0.0,0.0,0.0,0.0,0.0
1536679196119559950,0.0,0.0,0.0,0.0,0.0,0.0
1536679196152989521,0.0,0.0,0.0,0.0,0.0,0.0
