%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1536240501496594257,0.0,0.0,0.0,0.0,0.0,0.0
1536240501529956552,0.0,0.0,0.0,0.0,0.0,0.0
1536240501562964418,0.0,0.0,0.0,0.0,0.0,0.0
1536240501596350551,0.0,0.0,0.0,0.0,0.0,0.0
1536240501629940400,0.0,0.0,0.0,0.0,0.0,0.0
1536240501662970905,0.0,0.0,0.0,0.0,0.0,0.0
1536240501696309218,0.0,0.0,0.0,0.0,0.0,0.0
1536240501729745208,0.0,0.0,0.0,0.0,0.0,0.0
1536240501729749224,0.0870098769665,0.0,0.0,0.0,0.0,0.0
1536240501729752398,0.207188546658,0.0,0.0,0.0,0.0,0.0
1536240501763036039,0.339815557003,0.0,0.0,0.0,0.0,0.0
1536240501763039587,0.468282431364,0.0,0.0,0.0,0.0,0.0
1536240501763213528,0.548277854919,0.0,0.0,0.0,0.0,0.0
1536240501763219276,0.813515841961,0.0,0.0,0.0,0.0,0.0
1536240501796245905,0.925406336784,0.0,0.0,0.0,0.0,0.0
1536240501796358440,0.987567722797,0.0,0.0,0.0,0.0,0.0
1536240501796364660,1.0,0.0,0.0,0.0,0.0,0.0
1536240501829826562,1.0,0.0,0.0,0.0,0.0,0.0
1536240501862969622,1.0,0.0,0.0,0.0,0.0,0.0
1536240501896357637,1.0,0.0,0.0,0.0,0.0,0.0
1536240501930065728,1.0,0.0,0.0,0.0,0.0,0.0
1536240501963650703,1.0,0.0,0.0,0.0,0.0,0.0
1536240501996341636,1.0,0.0,0.0,0.0,0.0,0.0
1536240502029582681,1.0,0.0,0.0,0.0,0.0,0.0
1536240502063007024,1.0,0.0,0.0,0.0,0.0,0.0
1536240502096354594,0.954414963722,0.0,0.0,0.0,0.0,0.0
1536240502096391888,0.879821300507,0.0,0.0,0.0,0.0,0.0
1536240502129832327,0.76378673315,0.0,0.0,0.0,0.0,0.0
1536240502129840047,0.631159722805,0.0,0.0,0.0,0.0,0.0
1536240502129844113,0.5,0.0,0.0,0.0,0.0,0.0
1536240502129847474,0.418553322554,0.0,0.0,0.0,0.0,0.0
1536240502129850244,0.290086448193,0.0,0.0,0.0,0.0,0.0
1536240502162948713,0.165747642517,0.0,0.0,0.0,0.0,0.0
1536240502163005803,0.0745775997639,0.0,0.0,0.0,0.0,0.0
1536240502163037108,0.0165603160858,0.0,0.0,0.0,0.0,0.0
1536240502163041718,-0.0331527292728,0.0,0.0,0.0,0.0,0.0
1536240502163054241,-0.0497130453587,0.0,0.0,0.0,0.0,0.0
1536240502196316559,-0.0994421541691,0.0,0.0,0.0,0.0,0.0
1536240502196525848,-0.161603540182,0.0,0.0,0.0,0.0,0.0
1536240502196530366,-0.468282431364,0.0,0.0,0.0,0.0,0.0
1536240502229832664,-0.539989709854,0.0,0.0,0.0,0.0,0.0
1536240502229844247,-0.65602427721,0.0,0.0,0.0,0.0,0.0
1536240502229847424,-0.842524528503,0.0,0.0,0.0,0.0,0.0
1536240502263251120,-0.908829927444,0.0,0.0,0.0,0.0,0.0
1536240502263256884,-1.0,0.0,0.0,0.0,0.0,0.0
1536240502296341764,-1.0,0.0,0.0,0.0,0.0,0.0
1536240502330112587,-1.0,0.0,0.0,0.0,0.0,0.0
1536240502363157020,-1.0,0.0,0.0,0.0,0.0,0.0
1536240502397182836,-1.0,0.0,0.0,0.0,0.0,0.0
1536240502429758408,-0.971007406712,0.0,0.0,0.0,0.0,0.0
1536240502429823223,-0.921278297901,0.0,0.0,0.0,0.0,0.0
1536240502429843539,-0.888125538826,0.0,0.0,0.0,0.0,0.0
1536240502429886178,-0.81353187561,0.0,0.0,0.0,0.0,0.0
1536240502429889604,-0.7638027668,0.0,0.0,0.0,0.0,0.0
1536240502429904411,-0.664344608784,0.0,0.0,0.0,0.0,0.0
1536240502463419911,-0.45712390542,0.0,0.0,0.0,0.0,0.0
1536240502463438507,-0.34936144948,0.0,0.0,0.0,0.0,0.0
1536240502468256246,-0.23476202786,0.0,0.0,0.0,0.0,0.0
1536240502468262259,-0.102151073515,0.0,0.0,0.0,0.0,0.0
1536240502468269512,-0.0041440948844,0.0,0.0,0.0,0.0,0.0
1536240502468277452,0.098006978631,0.0,0.0,0.0,0.0,0.0
1536240502468282598,0.332785069942,0.0,0.0,0.0,0.0,0.0
1536240502496707400,0.43640345335,0.0,0.0,0.0,0.0,0.0
1536240502496712076,0.975151538849,0.0,0.0,0.0,0.0,0.0
1536240502529838317,1.0,0.0,0.0,0.0,0.0,0.0
1536240502562997839,1.0,0.0,0.0,0.0,0.0,0.0
1536240502596261421,1.0,0.0,0.0,0.0,0.0,0.0
1536240502629842177,1.0,0.0,0.0,0.0,0.0,0.0
1536240502629849574,0.954414963722,0.0,0.0,0.0,0.0,0.0
1536240502629901094,0.883965373039,0.0,0.0,0.0,0.0,0.0
1536240502662957507,0.776219010353,0.0,0.0,0.0,0.0,0.0
1536240502663330309,0.643592000008,0.0,0.0,0.0,0.0,0.0
1536240502663334285,0.306678891182,0.0,0.0,0.0,0.0,0.0
1536240502696561071,0.174067944288,0.0,0.0,0.0,0.0,0.0
1536240502696565941,-0.5,0.0,0.0,0.0,0.0,0.0
1536240502729779958,-0.610439240932,0.0,0.0,0.0,0.0,0.0
1536240502729784895,-0.937838613987,0.0,0.0,0.0,0.0,0.0
1536240502763011270,-0.975135445595,0.0,0.0,0.0,0.0,0.0
1536240502763036039,-1.0,0.0,0.0,0.0,0.0,0.0
1536240502796361243,-1.0,0.0,0.0,0.0,0.0,0.0
1536240502829698362,-1.0,0.0,0.0,0.0,0.0,0.0
1536240502862943423,-1.0,0.0,0.0,0.0,0.0,0.0
1536240502896283059,-1.0,0.0,0.0,0.0,0.0,0.0
1536240502896476595,-0.937854647636,0.0,0.0,0.0,0.0,0.0
1536240502896501719,-0.888125538826,0.0,0.0,0.0,0.0,0.0
1536240502929777026,-0.825964212418,0.0,0.0,0.0,0.0,0.0
1536240502929779784,-0.767946898937,0.0,0.0,0.0,0.0,0.0
1536240502929793249,-0.593894958496,0.0,0.0,0.0,0.0,0.0
1536240502929795507,-0.481988430023,0.0,0.0,0.0,0.0,0.0
1536240502929808167,-0.37837010622,0.0,0.0,0.0,0.0,0.0
1536240502929810303,-0.245759129524,0.0,0.0,0.0,0.0,0.0
1536240502929827333,-0.121436364949,0.0,0.0,0.0,0.0,0.0
1536240502963172233,-0.0455850176513,0.0,0.0,0.0,0.0,0.0
