%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1536680815021167933,0.0,0.0,0.0,0.0,0.0,0.0
1536680815054596742,0.0,0.0,0.0,0.0,0.0,0.0
1536680815088004894,0.0,0.0,0.0,0.0,0.0,0.0
1536680815121535718,0.0,0.0,0.0,0.0,0.0,0.0
1536680815154767869,0.0,0.0,0.0,0.0,0.0,0.0
1536680815188184782,0.0,0.0,0.0,0.0,0.0,0.0
1536680815221610595,0.0,0.0,0.0,0.0,0.0,0.0
1536680815254964263,0.0,0.0,0.0,0.0,0.0,0.0
1536680815288532594,0.0,0.0,0.0,0.0,0.0,0.0
1536680815322004218,0.0,0.0,0.0,0.0,0.0,0.0
1536680815355481925,0.0,0.0,0.0,0.0,0.0,0.0
1536680815389205367,0.0,0.0,0.0,0.0,0.0,0.0
1536680815422669863,0.0,0.0,0.0,0.0,0.0,0.0
1536680815455620745,0.0,0.0,0.0,0.0,0.0,0.0
1536680815489183249,0.0,0.0,0.0,0.0,0.0,0.0
1536680815522695750,0.0,0.0,0.0,0.0,0.0,0.0
1536680815555987526,0.0,0.0,0.0,0.0,0.0,0.0
1536680815589350472,0.0,0.0,0.0,0.0,0.0,0.0
1536680815622769487,0.0,0.0,0.0,0.0,0.0,0.0
1536680815656274820,0.0,0.0,0.0,0.0,0.0,0.0
1536680815689704580,0.0,0.0,0.0,0.0,0.0,0.0
1536680815723054937,0.0,0.0,0.0,0.0,0.0,0.0
1536680815756456113,0.0,0.0,0.0,0.0,0.0,0.0
1536680815789940944,0.0,0.0,0.0,0.0,0.0,0.0
1536680815823371939,0.0,0.0,0.0,0.0,0.0,0.0
1536680815856773582,0.0,0.0,0.0,0.0,0.0,0.0
1536680815890198720,0.0,0.0,0.0,0.0,0.0,0.0
1536680815923586549,0.0,0.0,0.0,0.0,0.0,0.0
1536680815957077879,0.0,0.0,0.0,0.0,0.0,0.0
1536680815990435429,0.0,0.0,0.0,0.0,0.0,0.0
1536680816023873142,0.0,0.0,0.0,0.0,0.0,0.0
1536680816057318160,0.0,0.0,0.0,0.0,0.0,0.0
1536680816090921935,0.0,0.0,0.0,0.0,0.0,0.0
1536680816124224591,0.0,0.0,0.0,0.0,0.0,0.0
1536680816157486485,0.0,0.0,0.0,0.0,0.0,0.0
1536680816190889966,0.0,0.0,0.0,0.0,0.0,0.0
1536680816224310371,0.0,0.0,0.0,0.0,0.0,0.0
1536680816257764179,0.0,0.0,0.0,0.0,0.0,0.0
1536680816291209699,0.0,0.0,0.0,0.0,0.0,0.0
1536680816324673845,0.0,0.0,0.0,0.0,0.0,0.0
1536680816357994589,0.0,0.0,0.0,0.0,0.0,0.0
1536680816391416183,0.0,0.0,0.0,0.0,0.0,0.0
1536680816424772295,0.0,0.0,0.0,0.0,0.0,0.0
1536680816458260167,0.0,0.0,0.0,0.0,0.0,0.0
1536680816491721005,0.0,0.0,0.0,0.0,0.0,0.0
1536680816525144862,0.0,0.0,0.0,0.0,0.0,0.0
1536680816558602450,0.0,0.0,0.0,0.0,0.0,0.0
1536680816592131127,0.0,0.0,0.0,0.0,0.0,0.0
1536680816625376708,0.0,0.0,0.0,0.0,0.0,0.0
1536680816658795601,0.0,0.0,0.0,0.0,0.0,0.0
1536680816692197336,0.0,0.0,0.0,0.0,0.0,0.0
1536680816725707124,0.0,0.0,0.0,0.0,0.0,0.0
1536680816759070245,0.0,0.0,0.0,0.0,0.0,0.0
1536680816792566117,0.0,0.0,0.0,0.0,0.0,0.0
1536680816825837238,0.0,0.0,0.0,0.0,0.0,0.0
1536680816859577197,0.0,0.0,0.0,0.0,0.0,0.0
1536680816892651761,0.0,0.0,0.0,0.0,0.0,0.0
1536680816926164034,0.0,0.0,0.0,0.0,0.0,0.0
1536680816959583105,0.0,0.0,0.0,0.0,0.0,0.0
1536680816993082422,0.0,0.0,0.0,0.0,0.0,0.0
1536680817026615041,0.0,0.0,0.0,0.0,0.0,0.0
